"TELERIDE_NUMBER","STOP_NAME","POINT"
"5523","SB Macleod TR @ 39 AV SW","POINT (-114.0631706 51.0183777)"
"4597","WB 66 AV SW @ Lethbridge CR","POINT (-114.1401847 50.9946362)"
"5671","EB 14 ST SW @ Ramp To 9 AV SW","POINT (-114.094156 51.0460026)"
"9353","NB Rocky Vista DR @ Eamon RD NW","POINT (-114.2393905 51.1377266)"
"4245","WB Oakwood DR @ Oakcliffe DR SW","POINT (-114.1362244 50.9663673)"
"6642","SB  Douglas Woods DR @ Douglas Woods HL SE","POINT (-113.9901757 50.9438563)"
"5920","WB McKenzie Towne BV @ 52 ST SE","POINT (-113.9594667 50.9182963)"
"7659","NB Catalina BV @ 26 AV NE","POINT (-113.93134 51.0764597)"
"6758","NB Brentwood RD @ Brentwood Co-Op","POINT (-114.1314153 51.0875208)"
"6309","WB Richmond RD @ 33 ST SW","POINT (-114.135176 51.0243313)"
"4805","NB Macleod TR @ 46 AV SW","POINT (-114.0661617 51.0116617)"
"4052","SB 48 ST NW @ 23 AV NW","POINT (-114.1597175 51.0794119)"
"6769","WB Hawkwood DR @ Hawkwood RD NW","POINT (-114.1874682 51.1265946)"
"8802","NB Bowness RD @ 52 ST NW","POINT (-114.1709578 51.0775925)"
"7905","EB 44 AV NE @ Whiteridge WY","POINT (-113.968793 51.0924054)"
"5816","WB Bow TR @ Spruce DR SW","POINT (-114.1363763 51.0419176)"
"6717","WB 28 AV NE @ 60 ST NE","POINT (-113.9472547 51.0780731)"
"5799","NB 4 ST NW @ 36 AV NW","POINT (-114.0714804 51.0853644)"
"8663","NB Manning RD @ N. of Centre AV E","POINT (-114.0175662 51.0541011)"
"6014","SB 12 ST NE @ 34 AV NE","POINT (-114.0297733 51.0829981)"
"2904","WB Front ST @ Main Ent. South Health Campus SE","POINT (-113.9494917 50.8814234)"
"7823","SB Spiller RD @ 6 ST SE","POINT (-114.0487682 51.0307064)"
"2462","EB Seton DR @ Seton WY SE","POINT (-113.955788 50.8767781)"
"2727","SB Haddon Rd @ Hogarth Rd","POINT (-114.0780825 50.9740506)"
"7092","EB Varsity DR @ 49 ST NW","POINT (-114.1594718 51.0936715)"
"6772","WB 14 AV SW @ Aspen Stone RD","POINT (-114.2166146 51.0452527)"
"5751","SB Coventry Hills BV @ Country Village LD NE","POINT (-114.0527675 51.1570233)"
"8506","SB Barlow TR @ 50 AV SE","POINT (-114.0006015 51.0070004)"
"6330","NB 18 ST SE @ 21 ST SE","POINT (-114.0132268 50.9669453)"
"8432","NB Tuscany Springs BV @ Tuscany BV NW","POINT (-114.2385015 51.1259876)"
"5857","NB 20A ST SE @ Lynndale RD","POINT (-114.0100778 50.9926715)"
"6343","NB 37 ST SW @ 46 AV SW","POINT (-114.1410564 51.0129081)"
"4283","SB Barlow TR @ 66 AV SE","POINT (-113.9820826 50.9938041)"
"7806","WB Berkshire BV @ Sandarac DR NW","POINT (-114.1007802 51.1322294)"
"4468","EB 30 AV SE @ 39 ST SE","POINT (-113.976471 51.0268237)"
"2806","SB 74 ST SE @ 106 AV SE","POINT (-113.9280899 50.9618622)"
"7373","WB Sandarac DR@ Sandalwood GA NW","POINT (-114.1048982 51.1402109)"
"6075","WB Silver Ridge DR @ Silver Springs BV NW","POINT (-114.1901476 51.1036508)"
"5023","WB Bowness RD @ 64 ST NW","POINT (-114.1820635 51.0867081)"
"5535","SB Fairmount DR @ Willow Ridge PL SE","POINT (-114.0597297 50.9562348)"
"6487","WB 6 AV NW @ 18 ST NW","POINT (-114.1020318 51.0576668)"
"9189","WB @ Fish Creek-Lacombe Station","POINT (-114.0744662 50.924331)"
"8593","SB Arbour Crest DR @ Arbour Crest RI NW","POINT (-114.2085288 51.136211)"
"4843","WB Old Banff Coach RD @ Patterson BV SW","POINT (-114.1804476 51.0604496)"
"3538","SB Royal Oak DR  @ Royal Ridge RI NW","POINT (-114.2209492 51.1393367)"
"9700","WB Panatella BV NW @ Panamount RI NW","POINT (-114.0814221 51.1632921)"
"9287","EB Strathcona DR @ Strathridge GV SW","POINT (-114.1946158 51.0508607)"
"3722","SB 85 ST SW @ Aspen Stone BV","POINT (-114.2111794 51.0406023)"
"8011","EB Edgebrook BV @ Edgeridge VW NW","POINT (-114.1293473 51.1386103)"
"6256","EB Castleridge DR @ Castlepark RD NE","POINT (-113.9526925 51.1080786)"
"8866","WB Pensacola WY @ Pensacola CL SE","POINT (-113.954743 51.041029)"
"6620","SB 4 ST NW @ 23 AV NW","POINT (-114.0716663 51.0729292)"
"4375","WB 8 AV SE @ 44 ST SE","POINT (-113.9705477 51.045245)"
"6705","EB California BV @ 68 ST NE","POINT (-113.9343274 51.0725263)"
"7662","EB 26 AV NE @ West of 68 ST NE","POINT (-113.9359768 51.0760867)"
"7124","WB Varsity Estates DR @ Varsity Estates PL NW","POINT (-114.177257 51.1079364)"
"8142","SB 19 ST SE @ 64 AV SE","POINT (-114.013639 50.9955871)"
"7723","NB 11 ST @ Aero RD NE","POINT (-114.0363048 51.1072523)"
"4595","NB 37 ST SW @ 61 AV SW","POINT (-114.1409108 50.9990525)"
"2930","WB 50 AV SW @ W. of 45 ST SW","POINT (-114.1568929 51.0093317)"
"4351","WB 14 AV SE @ 49 ST SE","POINT (-113.9634487 51.0409948)"
"7740","EB 58 AV SW @ 3 ST SW","POINT (-114.0691108 51.0013017)"
"3550","WB 112 AV NW @ 85 ST NW","POINT (-114.2099284 51.151877)"
"7591","EB Shawnee DR @ 6 ST SW","POINT (-114.076473 50.9241025)"
"5705","SB Russet RD @ Regal CR NE","POINT (-114.0427042 51.0629707)"
"9585","WB Country Hills RD @ Harvest Hills BV NW","POINT (-114.0698881 51.1428193)"
"8535","WB 17 AV SW @ 26 ST SW","POINT (-114.124253 51.0378878)"
"9590","WB Country Hills DR @ Country Hills RI NW","POINT (-114.0676881 51.1509044)"
"3625","NB Chaparral DR @ 194 AV SE","POINT (-114.0367846 50.8775518)"
"6078","SB 53 ST NW @ Varsity Estates DR","POINT (-114.1646488 51.0961359)"
"7796","EB Somerset DR @ Somercrest CL SW","POINT (-114.0816207 50.9007544)"
