GETBUSID,TRADENAME,ADDRESS,COMDISTNM,LICENCETYPES,JOBSTATUSDESC,POINT
904169,STARBUCKS COFFEE #4383,#330 5149 COUNTRY HILLS BV NW,EDGEMONT,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.157584 51.1378812)
344754,RIVER CAFE,25 PRINCE'S ISLAND PA SW,EAU CLAIRE,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0716322 51.0548597)
14022149,ALFORNO BAKERY & CAFE,222 7 ST SW,EAU CLAIRE,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0781685 51.0514275)
14932685,GOOD EARTH COFFEE HOUSE CENTENNIAL PLACE,#110 520 3 AV SW,EAU CLAIRE,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0721274 51.0508666)
14947048,DEVILLE COFFEE,275 2 ST SW,EAU CLAIRE,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0683503 51.0507357)
16392797,ANALOG COFFEE 400 THIRD,#220 400 3 AV SW,EAU CLAIRE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0708072 51.0510212)
13837422,JADE COFFEE ROASTERS,#121 11769 40 ST SE,EAST SHEPARD INDUSTRIAL,FOOD SERVICE - PREMISES,Renewal Licensed,POINT (-113.9777553 50.9453724)
16383093,IDRINKCOFFEE,#115 5250 110 AV SE,EAST SHEPARD INDUSTRIAL,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",Renewal Licensed,POINT (-113.9595014 50.9544264)
12493896,STARBUCKS COFFEE #4602,#507 4600 130 AV SE,EAST SHEPARD INDUSTRIAL,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9704884 50.9324699)
12494068,STARBUCKS COFFEE # 4601,#1300 33 HERITAGE MEADOWS WY SE,EAST FAIRVIEW INDUSTRIAL,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0412775 50.9835811)
15673288,STARBUCKS COFFEE#52698,#100 8450 BLACKFOOT TR SE,EAST FAIRVIEW INDUSTRIAL,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0468643 50.9771219)
16291536,RGH - HIGHWOOD CAFE / TIM HORTONS / SUBWAY #63093,7007 14 ST SW,EAGLE RIDGE,FOOD SERVICE - PREMISES,Renewal Licensed,POINT (-114.0976357 50.9901268)
16379844,FRIDAS COFFEE HOME,#110 1110 9 AV SW,DOWNTOWN WEST END,"RETAIL DEALER - PREMISES (MAIL ORDER),
FOOD SERVICE - PREMISES",Renewal Licensed,POINT (-114.0866793 51.0454157)
15855331,LOOPHOLE COFFEE BAR,1040 8 AV SW,DOWNTOWN WEST END,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0858914 51.0465375)
16632481,ART CAFE,#102 750 11 ST SW,DOWNTOWN WEST END,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Licensed,POINT (-114.0883855 51.0464761)
16282485,PLATFORM CAFE,407 9 AV SE,DOWNTOWN EAST VILLAGE,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0550257 51.0440669)
13958939,PHIL & SEBASTIAN COFFEE ROASTERS,618 CONFLUENCE WY SE,DOWNTOWN EAST VILLAGE,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0497585 51.047937)
14628184,TIM HORTONS #7657,775 4 ST SE,DOWNTOWN EAST VILLAGE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0534297 51.0455172)
16638397,GOOD EARTH COFFEE HOUSE EAST VILLAGE,#190 615 6 AV SE,DOWNTOWN EAST VILLAGE,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Licensed,POINT (-114.0504086 51.0464148)
16562787,BONO COFFEE,#B 102 8 AV SW,DOWNTOWN COMMERCIAL CORE,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0633799 51.0458263)
13821285,CACTUS CLUB CAFE,#178 317 7 AV SW,DOWNTOWN COMMERCIAL CORE,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0687744 51.0464495)
16414518,ANALOG COFFEE,#204 315 8 AV SW,DOWNTOWN COMMERCIAL CORE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0690566 51.0452367)
16388480,HUMBLE COFFEE CO,#220 635 8 AV SW,DOWNTOWN COMMERCIAL CORE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0758645 51.0456346)
685321,LUXOR EMPORIUM & CAFE,937 7 AV SW,DOWNTOWN COMMERCIAL CORE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0830906 51.0467651)
16594947,INFUSION CAFE AND BISTRO,#210 555 4 AV SW,DOWNTOWN COMMERCIAL CORE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0731846 51.0493881)
12004271,TIM HORTONS,#130 401 9 AV SW,DOWNTOWN COMMERCIAL CORE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0694113 51.0445545)
16044448,PHIL & SEBASTIAN COFFEE ROASTERS,#255 225 7 AV SW,DOWNTOWN COMMERCIAL CORE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0674602 51.0461506)
15062151,PHIL & SEBASTIAN COFFEE ROASTERS,#248 414 3 ST SW,DOWNTOWN COMMERCIAL CORE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0697091 51.0489433)
16419368,GOOD EARTH CAFE,#130 707 7 AV SW,DOWNTOWN COMMERCIAL CORE,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0765148 51.0466917)
15869118,SKY CAFE BY DEVILLE,#100 685 CENTRE ST SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0633987 51.0467324)
15066160,DEVILLE COFFEE,807 1 ST SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0658321 51.0453615)
14534549,DEVILLE COFFEE,#230 333 5 AV SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0696244 51.0482841)
13920376,STARBUCKS COFFEE #22865,#230 555 8 AV SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",Renewal Licensed,POINT (-114.0728468 51.0455327)
16229627,CAFE 8,609 8 AV SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0745204 51.0457492)
